Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
006260,KR7006260004,LS,KOSPI,,95000,1,2900,3.15,92400,95000,91100,168683,15800871600,3059000000000,32200000,STK
036460,KR7036460004,한국가스공사,KOSPI,,32650,2,-800,-2.39,33150,33250,32450,939319,30780460700,3014019450000,92313000,STK
026960,KR7026960005,동서,KOSPI,,29900,2,-200,-0.66,29950,30550,29750,146133,4392705550,2981030000000,99700000,STK
004020,KR7004020004,현대제철,KOSPI,,22050,1,150,0.68,21800,22400,21750,373555,8217143600,2942479559250,133445785,STK
000720,KR7000720003,현대건설,KOSPI,,26200,1,600,2.34,25500,26200,25500,389810,10148700450,2917521043000,111355765,STK
009830,KR7009830001,한화솔루션,KOSPI,,16850,1,90,0.54,16740,17220,16480,1163003,19608215780,2896389231600,171892536,STK
001040,KR7001040005,CJ,KOSPI,,98500,1,2900,3.03,95200,99000,95200,46775,4585617400,2873934303000,29176998,STK
348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,136200,2,-12700,-8.53,148000,148000,133500,919038,125353032202,2831178912600,20786923,KSQ
011780,KR7011780004,금호석유,KOSPI,,98900,1,1200,1.23,97500,98900,96100,103983,10116179700,2703390654300,27334587,STK
011170,KR7011170008,롯데케미칼,KOSPI,,62900,2,-2100,-3.23,64300,65000,62600,95881,6091996400,2690573855100,42775419,STK
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,74300,1,2000,2.77,72300,75100,71600,810472,60099390800,2640064155600,35532492,KSQ
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,172600,1,1700,0.99,174100,176000,171100,93381,16121951700,2630833062000,15242370,KSQ
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,245000,1,13500,5.83,231000,248500,229500,188884,45636686500,2574852000000,10509600,KSQ
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,132400,1,1800,1.38,131100,132800,129800,57533,7569093300,2568541199200,19399858,KSQ
081660,KR7081660003,휠라홀딩스,KOSPI,,41850,1,950,2.32,40900,42050,40900,65857,2745658850,2515010862150,60095839,STK
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,107200,1,1300,1.23,107400,110000,102500,1694435,180539344100,2497475920000,23297350,KSQ
